fips,County,State,state_code,Population,Comcast Pop (HL),Comcast Pop (WL),CCC < 50 Employees
01001,Autauga,Alabama,AL,55869,0,0,Yes
01003,Baldwin,Alabama,AL,223234,10,0,Yes
01005,Barbour,Alabama,AL,24686,0,0,Yes
01007,Bibb,Alabama,AL,22394,4,0,Yes
01009,Blount,Alabama,AL,57826,2,0,Yes
01011,Bullock,Alabama,AL,10101,0,0,Yes
01013,Butler,Alabama,AL,19448,0,0,Yes
01015,Calhoun,Alabama,AL,113605,6,0,Yes
01017,Chambers,Alabama,AL,33254,2,0,Yes
01019,Cherokee,Alabama,AL,26196,15,33,Yes
01021,Chilton,Alabama,AL,44428,0,0,Yes
01023,Choctaw,Alabama,AL,12589,0,0,Yes
01025,Clarke,Alabama,AL,23622,0,0,Yes
01027,Clay,Alabama,AL,13235,0,0,Yes
01029,Cleburne,Alabama,AL,14910,0,0,Yes
01031,Coffee,Alabama,AL,52342,3,0,Yes
01033,Colbert,Alabama,AL,55241,4,0,Yes
01035,Conecuh,Alabama,AL,12067,0,0,Yes
01037,Coosa,Alabama,AL,10663,0,0,Yes
01039,Covington,Alabama,AL,37049,0,0,Yes
01041,Crenshaw,Alabama,AL,13772,1,1,Yes
01043,Cullman,Alabama,AL,83768,1,0,Yes
01045,Dale,Alabama,AL,49172,10,0,Yes
01047,Dallas,Alabama,AL,37196,0,0,Yes
01049,DeKalb,Alabama,AL,71513,4,0,Yes
01051,Elmore,Alabama,AL,81209,1,0,Yes
01053,Escambia,Alabama,AL,36633,0,0,Yes
01055,Etowah,Alabama,AL,102268,11,0,Yes
01057,Fayette,Alabama,AL,16302,0,0,Yes
01059,Franklin,Alabama,AL,31362,0,0,Yes
01061,Geneva,Alabama,AL,26271,10,23,Yes
01063,Greene,Alabama,AL,8111,0,0,Yes
01065,Hale,Alabama,AL,14651,1,0,Yes
01067,Henry,Alabama,AL,17205,0,0,Yes
01069,Houston,Alabama,AL,105882,3,0,Yes
01071,Jackson,Alabama,AL,51626,0,0,Yes
01073,Jefferson,Alabama,AL,658573,1,0,Yes
01075,Lamar,Alabama,AL,13805,0,0,Yes
01077,Lauderdale,Alabama,AL,92729,21,21,Yes
01079,Lawrence,Alabama,AL,32924,1,0,Yes
01081,Lee,Alabama,AL,164542,1,0,Yes
01083,Limestone,Alabama,AL,98915,29,0,Yes
01085,Lowndes,Alabama,AL,9726,0,0,Yes
01087,Macon,Alabama,AL,18068,0,0,Yes
01089,Madison,Alabama,AL,372909,120,159,
01091,Marengo,Alabama,AL,18863,0,0,Yes
01093,Marion,Alabama,AL,29709,0,0,Yes
01095,Marshall,Alabama,AL,96774,1,0,Yes
01097,Mobile,Alabama,AL,413210,88,100,
01099,Monroe,Alabama,AL,20733,0,0,Yes
01101,Montgomery,Alabama,AL,226486,1,0,Yes
01103,Morgan,Alabama,AL,119679,4,0,Yes
01105,Perry,Alabama,AL,8923,0,0,Yes
01107,Pickens,Alabama,AL,19930,1,0,Yes
01109,Pike,Alabama,AL,33114,0,0,Yes
